"Distance (m)","Straight-line (m)","Landscape px (1920w, 62.2°)","Portrait px (1080w, 48.8°)","Ratio L/P"
"1.4 m","1.422","47.75","35.72","1.337"
"1.5 m","1.521","44.65","33.40","1.337"
"1.6 m","1.619","41.93","31.37","1.337"
"1.7 m","1.718","39.52","29.56","1.337"
"1.8 m","1.817","37.37","27.95","1.337"
"1.9 m","1.916","35.43","26.51","1.337"
"2.0 m","2.016","33.69","25.20","1.337"
"2.1 m","2.115","32.11","24.02","1.337"
"2.2 m","2.214","30.67","22.94","1.337"
"2.3 m","2.314","29.35","21.96","1.337"
"2.4 m","2.413","28.14","21.05","1.337"
"2.5 m","2.512","27.03","20.22","1.337"
"2.6 m","2.612","26.00","19.45","1.337"
"2.7 m","2.712","25.04","18.73","1.337"
"2.8 m","2.811","24.16","18.07","1.337"
"2.9 m","2.911","23.33","17.45","1.337"
"3.0 m","3.010","22.56","16.87","1.337"
"3.1 m","3.110","21.83","16.33","1.337"
"3.2 m","3.210","21.16","15.83","1.337"